No,Channel,Date,Title,category,product,Media Name,Link URL,Sentiment,brand,company,metric_name,metric_value
6,Online Media,2024-02-13,What's Next For Gamuda? Data Centre Projects,"Enterprise, Wholesale, or Public Sector",Enterprise products,BUSINESS TODAY MY,https://www.businesstoday.com.my/2024/02/13/whats-next-for-gamuda-data-centre-projects/,positive,Time,Time,Ad Value,2000.0
7,Online Media,2024-02-13,"""Gamuda's IBS capabilities to help it secure data centre jobs in Klang Valley""","Enterprise, Wholesale, or Public Sector",Enterprise products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1276663/gamuda-039-s-ibs-capabilities-to-help-it-secure-data-centre-jobs-in-klang-valley,positive,Time,Time,Ad Value,1600.0
8,Online Media,2024-02-13,RHB raises target price for Gamuda amid upbeat prospects on data centre market,"Enterprise, Wholesale, or Public Sector",Enterprise products,NEWSWAV.COM,https://newswav.com/article/rhb-raises-target-price-for-gamuda-amid-upbeat-prospects-on-data-centre-mar-A2402_VEcYXe,positive,Time,Time,Ad Value,2000.0
9,Online Media,2024-02-13,RHB raises target price for Gamuda amid upbeat prospects on data centre market,"Enterprise, Wholesale, or Public Sector",Enterprise products,THE EDGE,https://theedgemalaysia.com/node/700685,positive,Time,Time,Ad Value,2000.0
10,Online Media,2024-02-13,RHB raises target price for Gamuda amid upbeat prospects on data centre market,"Enterprise, Wholesale, or Public Sector",Enterprise products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1276689/rhb-raises-target-price-for-gamuda-amid-upbeat-prospects-on-data-centre-market,positive,Time,Time,Ad Value,1600.0
11,Online Media,2024-02-13,Gamuda - in a Sweet Spot to Leverage on Data Centre Growth,"Enterprise, Wholesale, or Public Sector",Enterprise products,I3INVESTOR MY,https://klse.i3investor.com/web/blog/detail/rhbinvest/2024-02-13-story-h-188506496-Gamuda_in_a_Sweet_Spot_to_Leverage_on_Data_Centre_Growth,positive,Time,Time,Ad Value,8400.0
12,Online Media,2024-02-14,Gamuda eyes Klang Valley data centre jobs,"Enterprise, Wholesale, or Public Sector",Enterprise products,THE STAR ONLINE - MY,https://www.thestar.com.my/business/business-news/2024/02/14/gamuda-eyes-klang-valley-data-centre-jobs,positive,Time,Time,Ad Value,11200.0
13,Online Media,2024-02-15,"Bursa Malaysia ends mixed, with FBM KLCI closing marginally lower","Enterprise, Wholesale, or Public Sector",Enterprise products,NST ONLINE - MY,https://www.nst.com.my/business/corporate/2024/02/1013740/bursa-malaysia-ends-mixed-fbm-klci-closing-marginally-lower,neutral,Time,Time,Ad Value,4800.0
14,Online Media,2024-02-19,"TIME Introduces Emit Solar, Its All-In-One Solar Solution Service For Landed Houses","Enterprise, Wholesale, or Public Sector",Enterprise products,LOWYAT,https://www.lowyat.net/2024/316656/time-introduces-emit-solar-its-all-in-one-solar-solution-service-for-landed-houses/,positive,Time,Time,Ad Value,8400.0
15,Online Media,2024-02-25,Ilmu Teknikal Analisis: Reversal Bearish Tweezer Top,"Enterprise, Wholesale, or Public Sector",Enterprise products,MAJALAH LABUR,https://www.majalahlabur.com/saham/technical-analysis/ilmu-teknikal-analisis-reversal-bearish-tweezer-top/,negative,Time,Time,Ad Value,1000.0
